00005007A9F30E289E760362F69E4EAD,39C3E34B3E338A7210C1D3163E6E9589,CMT,2013-08-07 09:09:04	1,N,2013-08-07 09:15:46,1,401,0.5,-73.988678,40.752495,-73.986153,40.748329,CSH,6,0,0.5,0,0,6.5
00005007A9F30E289E760362F69E4EAD,39C3E34B3E338A7210C1D3163E6E9589,CMT,2013-08-07 09:18:21	1,N,2013-08-07 09:32:06,1,825,2.1,-73.987251,40.74625,-74.005089,40.74498,CRD,11,0,0.5,2.3,0,13.8
00005007A9F30E289E760362F69E4EAD,39C3E34B3E338A7210C1D3163E6E9589,CMT,2013-08-07 09:44:54	1,N,2013-08-07 09:59:47,1,892,1.6,-74.00663,40.732613,-73.987984,40.738636,CSH,10.5,0,0.5,0,0,11
00005007A9F30E289E760362F69E4EAD,39C3E34B3E338A7210C1D3163E6E9589,CMT,2013-08-07 10:05:19	1,N,2013-08-07 10:13:10,1,471,0.8,-73.978981,40.744556,-73.969521,40.749504,CRD,6.5,0,0.5,1.4,0,8.4
00005007A9F30E289E760362F69E4EAD,39C3E34B3E338A7210C1D3163E6E9589,CMT,2013-08-07 10:18:41	1,N,2013-08-07 10:28:15,2,574,0.8,-73.962791,40.755188,-73.974922,40.757095,CSH,7.5,0,0.5,0,0,8
00005007A9F30E289E760362F69E4EAD,39C3E34B3E338A7210C1D3163E6E9589,CMT,2013-08-07 10:35:47	1,N,2013-08-07 10:51:48,1,960,1.1,-73.978325,40.758259,-73.997383,40.765633,CRD,11,0,0.5,2.3,0,13.8
00005007A9F30E289E760362F69E4EAD,39C3E34B3E338A7210C1D3163E6E9589,CMT,2013-08-07 11:26:12	1,N,2013-08-07 11:35:25,1,553,1.3,-73.960548,40.775776,-73.947716,40.781109,CRD,8,0,0.5,1.7,0,10.2
00005007A9F30E289E760362F69E4EAD,39C3E34B3E338A7210C1D3163E6E9589,CMT,2013-08-07 11:43:21	1,N,2013-08-07 11:46:16,1,174,0.7,-73.956917,40.780613,-73.949509,40.788265,CRD,5,0,0.5,0.5,0,6
00005007A9F30E289E760362F69E4EAD,39C3E34B3E338A7210C1D3163E6E9589,CMT,2013-08-07 11:49:52	1,N,2013-08-07 11:59:25,1,572,1.6,-73.955452,40.782749,-73.970497,40.761978,CRD,8.5,0,0.5,1,0,10
00005007A9F30E289E760362F69E4EAD,39C3E34B3E338A7210C1D3163E6E9589,CMT,2013-08-07 12:08:52	1,N,2013-08-07 12:22:03,1,790,1.5,-73.976082,40.755077,-73.991753,40.741299,CRD,9.5,0,0.5,2,0,12
00005007A9F30E289E760362F69E4EAD,39C3E34B3E338A7210C1D3163E6E9589,CMT,2013-08-07 12:22:49	1,N,2013-08-07 12:43:50,1,1260,2,-73.99176,40.741306,-73.973396,40.760715,CRD,14,0,0.5,2.9,0,17.4
